Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Charging_Stations
2016,September,Europe,Model S,20358,20930,110072,100,590,1801.68,9489
2018,February,Middle East,Model X,7551,7813,110789,82,488,552.73,8035
2025,April,Middle East,Model S,6995,7039,97176,75,432,453.28,8329
2023,November,Middle East,Model 3,10831,11502,79651,120,702,1140.5,14313
2021,January,Middle East,Model 3,2137,2277,68389,120,669,214.45,11269
2023,March,Asia,Model X,6987,7810,76387,82,455,476.86,10605
2023,October,North America,Model S,10819,11416,99912,75,414,671.86,7636
2018,February,North America,Model Y,11286,12786,115401,82,488,826.14,10624
2018,May,Europe,Model 3,14415,14504,84869,120,701,1515.74,6027
2025,March,North America,Model X,4027,4228,117189,82,472,285.11,7808
2024,April,Middle East,Model 3,14574,16184,65093,75,427,933.46,9094
2025,January,Middle East,Cybertruck,4241,4551,63059,100,594,377.87,5982
2025,June,Europe,Model 3,10014,10848,107746,100,575,863.71,13997
2021,July,North America,Model 3,13236,13581,103253,120,660,1310.36,9693
2015,August,Europe,Model Y,6904,7092,113592,75,434,449.45,7810
2020,September,Asia,Model S,19989,21667,84048,60,345,1034.43,5116
2021,September,North America,Model S,11461,12063,81653,100,556,955.85,3575
2021,September,North America,Model 3,9843,10987,89948,75,441,651.11,4798
2017,November,Asia,Model X,5590,5772,111185,60,337,282.57,6158
2018,May,Middle East,Model Y,12023,12399,54100,75,433,780.89,10142
2025,February,Asia,Model 3,17456,19595,107746,120,674,1764.8,6883
2021,September,Europe,Model 3,6586,7232,79135,82,458,452.46,11269
2022,December,Asia,Model 3,14684,16136,74135,75,446,982.36,6498
2017,December,North America,Model 3,25704,28939,61248,120,661,2548.55,8388
2024,September,Middle East,Model Y,4620,5094,65088,82,468,324.32,5258
2018,November,North America,Model 3,10848,11734,61192,82,479,779.43,5010
2018,October,Europe,Model S,10672,11272,93493,120,703,1125.36,4327
2016,November,Asia,Cybertruck,14130,14923,61680,82,468,991.93,4711
2021,November,Asia,Model X,11543,12126,90984,75,424,734.13,4043
2023,July,North America,Model X,9697,10023,63662,82,457,664.73,12325
2020,September,Europe,Model Y,10029,10380,78669,60,353,531.04,12254
2015,September,Europe,Model X,15086,15130,57288,100,589,1332.85,5142
2018,January,Asia,Model S,14330,16094,83415,100,567,1218.77,7350
2022,May,North America,Model S,10488,10878,71291,60,353,555.34,6926
2020,June,Asia,Model S,7893,8803,68591,120,706,835.87,5470
2015,February,Europe,Model 3,2324,2423,52582,120,696,242.63,9032
2024,September,North America,Model X,9727,10872,83985,60,340,496.08,3988
2022,January,Asia,Cybertruck,13491,15256,65095,60,332,671.85,8794
2019,February,Middle East,Model X,2439,2652,111904,100,557,203.78,10173
2019,November,Middle East,Model 3,10763,10853,59953,75,414,668.38,10510
2019,May,North America,Model S,6061,6255,78780,60,351,319.11,5609
2022,July,Asia,Model 3,10399,10848,61222,82,473,737.81,9387
2021,July,Europe,Model 3,10432,11531,105489,82,476,744.84,4831
2023,August,Middle East,Cybertruck,12771,14425,76006,120,672,1287.32,12301
2015,March,North America,Model 3,6717,6811,75740,82,461,464.48,5927
2021,February,Middle East,Model S,10922,11681,91960,82,458,750.34,11899
2024,September,Asia,Model Y,4461,4515,50800,60,342,228.85,7924
2022,December,North America,Model S,4719,5062,108112,82,489,346.14,10611
2021,May,Asia,Model Y,9545,9727,62297,120,717,1026.56,11318
2021,December,Middle East,Model X,13859,15058,73959,60,332,690.18,14913
2017,July,Europe,Cybertruck,6698,7530,105251,82,463,465.18,13965
2019,September,Asia,Model X,15884,17515,64846,100,561,1336.64,6375
2015,February,Europe,Model Y,9861,11318,66944,100,583,862.34,12139
2016,November,North America,Model 3,3663,4115,116854,60,354,194.51,3018
2021,April,Asia,Model S,7580,8514,103848,60,347,394.54,7046
2022,June,Middle East,Model Y,7532,8069,53120,82,490,553.6,11592
2017,January,Asia,Model Y,8033,8698,86412,60,334,402.45,12304
2020,March,Middle East,Model Y,14639,15788,58172,100,556,1220.89,9442
2020,June,North America,Model 3,7771,8856,56231,100,575,670.25,14022
2023,December,Europe,Cybertruck,11128,12108,72256,100,577,963.13,11768
2020,June,North America,Cybertruck,4677,5097,55021,120,673,472.14,14177
2015,December,Middle East,Model 3,12570,12817,52277,120,715,1348.13,10399
2017,April,Asia,Model 3,10795,12043,95826,82,457,740,13510
2017,March,North America,Model S,9296,9376,117045,75,447,623.3,12422
2022,September,Middle East,Model S,9215,10246,92323,75,438,605.43,3220
2020,February,Asia,Model X,6932,7903,103645,75,437,454.39,12886
2019,September,Middle East,Model Y,13821,15702,56119,75,447,926.7,12906
2018,January,North America,Model S,4526,4637,58161,60,346,234.9,13828
2018,January,Middle East,Model S,11796,12081,95949,100,598,1058.1,9746
2024,September,Middle East,Model S,11173,11333,76804,60,358,599.99,10074
2015,March,Middle East,Model Y,5198,5319,67517,82,473,368.8,11575
2017,August,Asia,Model 3,8032,8297,74536,75,426,513.24,3824
2019,December,North America,Model 3,13871,15499,115624,60,350,728.23,4870
2022,August,Asia,Cybertruck,13977,14076,76983,75,418,876.36,11344
2017,June,Asia,Model X,9474,9841,80408,120,703,999.03,3108
2020,June,North America,Model Y,3949,4020,55979,82,488,289.07,5323
2020,October,Europe,Model X,8875,9062,93578,75,420,559.12,9048
2024,August,North America,Model Y,9497,10344,118176,75,424,604.01,14077
2018,November,Middle East,Cybertruck,10631,11842,73718,75,448,714.4,11855
2025,April,North America,Model S,14646,15998,70463,82,468,1028.15,11480
2020,March,Europe,Cybertruck,5479,6104,99911,60,340,279.43,3635
2018,October,North America,Cybertruck,11286,12014,58340,120,690,1168.1,7185
2020,April,Middle East,Cybertruck,13035,14421,107662,120,711,1390.18,7981
2023,October,Asia,Model X,7375,8187,57285,60,353,390.51,9387
2025,July,Asia,Cybertruck,2723,2943,63831,75,428,174.82,9020
2022,March,North America,Model S,8256,9464,67978,75,429,531.27,3360
2025,February,Middle East,Cybertruck,6699,7150,69494,75,447,449.17,13608
2019,October,North America,Model X,12891,14178,107586,120,660,1276.21,9504
2023,September,Asia,Model X,11694,12628,59653,60,347,608.67,6777
2017,December,Europe,Model 3,7124,7492,52107,82,490,523.61,11014
2019,April,North America,Model X,9977,10879,65908,60,346,517.81,11339
2018,February,Europe,Model S,16810,18654,107713,100,557,1404.48,12995
2025,October,Asia,Cybertruck,3031,3438,110310,100,558,253.69,3311
2021,August,Asia,Model S,8848,9157,81736,120,691,917.1,12163
2017,February,Asia,Model Y,9235,10569,86332,100,583,807.6,6742
2015,May,North America,Model 3,10974,12136,55694,120,665,1094.66,14839
2025,September,Europe,Model Y,6670,7585,78298,75,427,427.21,6633
2020,June,Europe,Model Y,5248,5703,117059,75,431,339.28,3994
2018,October,Asia,Cybertruck,1697,1724,116738,60,331,84.26,6571
2020,November,North America,Cybertruck,14412,14627,92292,60,333,719.88,3944
2025,October,Middle East,Cybertruck,10175,11339,61800,75,436,665.44,4027
2025,August,Asia,Model Y,8949,10002,91731,82,487,653.72,5063
2015,August,Asia,Model S,19783,19836,111049,82,489,1451.08,9781
2018,March,Asia,Cybertruck,8510,9702,98236,75,443,565.49,9674
2016,May,Europe,Cybertruck,13737,14494,78989,100,591,1217.79,11803
2015,January,Europe,Model 3,7597,8376,80811,75,417,475.19,8942
2018,December,North America,Model Y,12145,13533,106826,120,680,1238.79,8204
2022,May,Middle East,Model X,13056,14295,118321,75,424,830.36,8531
2018,January,Asia,Cybertruck,10761,11619,52286,82,470,758.65,7892
2018,October,Europe,Cybertruck,9910,10710,119449,75,444,660.01,4168
2016,December,Europe,Model Y,121,139,111622,100,581,10.55,9832
2015,October,North America,Model 3,13930,14805,76820,120,691,1443.84,3563
2015,September,North America,Cybertruck,14984,15332,62735,60,355,797.9,14353
2016,November,Asia,Model 3,6535,7194,69277,82,463,453.86,12467
2017,January,Asia,Model S,10239,10788,95347,75,417,640.45,13663
2021,June,Middle East,Model X,8154,9222,77649,120,680,831.71,5487
2019,October,North America,Model Y,10447,11167,84928,100,553,866.58,11213
2020,June,Asia,Model 3,7905,8286,82584,100,597,707.89,14180
2025,January,Europe,Model S,7178,7255,56599,60,347,373.61,3619
2019,August,Asia,Model 3,13675,14416,87436,120,719,1474.85,8694
2025,June,Middle East,Model 3,8280,8700,70544,75,420,521.64,6188
2023,July,Asia,Model S,7598,8691,85168,60,357,406.87,11481
2022,August,Middle East,Model X,9804,10357,97058,60,353,519.12,9369
2022,December,Asia,Model S,15242,15254,118941,120,712,1627.85,13741
2021,November,Europe,Model X,4265,4364,111630,75,428,273.81,7945
2025,December,Europe,Model X,4553,4640,85847,82,462,315.52,4933
2023,July,Middle East,Model X,15532,17175,90414,120,713,1661.15,11403
2025,March,Europe,Model 3,4322,4811,106263,60,346,224.31,8862
2025,May,North America,Model S,7732,8655,70175,120,671,778.23,14687
2016,May,Europe,Model X,8790,9863,93065,100,565,744.95,10486
2016,November,North America,Model X,8067,8378,54167,120,696,842.19,11239
2023,April,North America,Model Y,12566,13881,55756,60,342,644.64,9711
2021,May,Middle East,Cybertruck,17149,17698,57386,120,700,1800.64,10928
2018,June,Asia,Model X,10582,11794,86638,82,460,730.16,10998
2024,November,Europe,Cybertruck,15338,17247,109718,120,673,1548.37,3777
2022,May,Middle East,Model Y,11881,13384,103322,60,331,589.89,14981
2020,November,Asia,Cybertruck,12449,13177,79104,82,470,877.65,7412
2020,January,North America,Model 3,9057,9716,104454,60,341,463.27,8317
2021,February,North America,Model X,20568,22879,117528,120,664,2048.57,3641
2015,May,Europe,Model 3,12077,13820,76241,75,423,766.29,13423
2020,November,North America,Model Y,9047,9698,76125,75,430,583.53,9949
2025,September,Middle East,Model X,12995,14883,97050,75,418,814.79,4598
2018,March,Middle East,Model X,7292,7429,118541,120,700,765.66,13162
2025,April,Europe,Model X,8951,10171,86289,100,553,742.49,4323
2015,March,Asia,Cybertruck,10257,11441,65107,100,581,893.9,4024
2023,August,Asia,Model Y,14192,14464,71868,120,690,1468.87,10065
2020,May,Europe,Model X,8980,10325,70079,100,564,759.71,4916
2022,October,Middle East,Cybertruck,6826,7781,106421,120,701,717.75,3060
2022,May,North America,Model Y,2178,2274,69609,100,557,181.97,6470
2020,March,Europe,Model S,8370,8464,67525,120,700,878.85,13659
2015,June,Asia,Model Y,6828,7039,75499,100,575,588.91,11284
2025,April,Middle East,Model X,11783,12535,95130,82,458,809.49,9726
2019,February,Europe,Model X,8777,8804,52410,75,429,564.8,12799
2017,February,North America,Model 3,9462,10474,96647,60,358,508.11,12132
2022,April,Asia,Model X,11546,13120,115939,100,553,957.74,7828
2019,March,Europe,Cybertruck,11227,12883,53512,100,554,932.96,11645
2019,December,Middle East,Model Y,11307,12778,80248,75,448,759.83,8426
2020,October,Asia,Cybertruck,10428,11120,116424,82,461,721.1,9385
2017,June,Europe,Cybertruck,4694,5104,67717,120,687,483.72,14490
2018,March,Europe,Model Y,4731,5359,112698,60,338,239.86,5759
2015,January,Middle East,Model X,7419,8000,79928,75,413,459.61,4294
2019,May,North America,Model X,7479,7555,72183,82,461,517.17,9071
2021,January,Europe,Model X,8424,8688,50825,75,449,567.36,6372
2024,January,Europe,Model Y,14668,16401,67772,82,482,1060.5,11255
2016,March,Europe,Model S,8700,9196,77918,60,347,452.83,9403
2016,October,Europe,Model Y,10758,11593,80130,82,463,747.14,8215
2020,July,Europe,Model Y,11723,11829,78934,60,346,608.42,8232
2021,April,Asia,Cybertruck,9368,10703,54428,120,696,978.02,3685
2017,October,Europe,Cybertruck,12490,13026,106185,120,719,1347.05,3360
2015,February,Asia,Model 3,18761,18875,91363,82,478,1345.16,3199
2020,August,North America,Model 3,9209,10291,77637,120,698,964.18,4807
2018,January,North America,Model X,11056,12145,112887,60,341,565.51,6921
2018,December,Asia,Model 3,10896,10897,52749,120,718,1173.5,5908
2023,March,Europe,Model X,7063,7817,90597,100,554,586.94,11327
2015,November,Asia,Cybertruck,4482,4968,84711,82,454,305.22,5642
2023,April,Middle East,Model S,16873,17509,98627,60,353,893.43,5937
2019,November,North America,Cybertruck,15281,16012,113414,120,667,1528.86,5142
2016,May,Europe,Model 3,7546,8329,54360,60,345,390.51,14960
2017,May,North America,Model S,12601,13161,100010,82,482,911.05,4230
2020,October,North America,Model Y,8952,9919,81114,100,562,754.65,5284
2019,July,Europe,Model 3,7642,8425,91558,75,440,504.37,6713
2023,July,North America,Model Y,16150,16704,86865,60,343,830.92,9955
2016,June,North America,Model 3,10738,11306,70757,75,425,684.55,12295
2015,August,Europe,Model X,6084,6741,94880,60,350,319.41,9512
2023,July,Asia,Model X,6290,7032,73726,82,484,456.65,4568
2023,November,North America,Model 3,7159,8085,109799,120,661,709.81,10314
2019,August,Europe,Model X,8803,9254,118697,60,348,459.52,7993
2018,July,Europe,Model Y,7992,8483,118475,100,559,670.13,12589
2019,January,Europe,Model 3,17693,18854,69373,60,346,918.27,7164
2019,June,Asia,Model X,14693,16626,67023,82,473,1042.47,5309
2025,December,Asia,Cybertruck,7317,7883,74218,100,583,639.87,14412
2015,August,Middle East,Model S,14376,16107,50324,60,340,733.18,7778
2023,December,Europe,Model S,11217,11469,56298,75,433,728.54,4365
2022,June,Asia,Model S,2823,2893,78502,120,673,284.98,9417
2019,March,North America,Model X,11553,12761,55826,75,444,769.43,8766
2023,July,Asia,Cybertruck,8704,9162,108607,82,453,591.44,14308
2024,March,Middle East,Model 3,16656,17329,57012,100,567,1416.59,7835
2015,September,Middle East,Model 3,11231,12298,68052,82,456,768.2,13019
2025,August,Europe,Model 3,9675,9787,117181,60,356,516.64,12056
2025,May,Europe,Model Y,7394,7616,104198,75,439,486.89,10619
2020,January,North America,Model Y,4504,4957,68861,60,338,228.35,14200
2022,August,North America,Model X,11368,12014,73819,60,348,593.41,13691
2025,May,North America,Model 3,13243,13961,92096,120,696,1382.57,9725
2021,June,Asia,Model Y,8133,8592,75423,82,453,552.64,11226
2021,November,Europe,Model S,6372,7058,64962,120,671,641.34,7953
2023,April,Asia,Model Y,5775,6270,109711,60,354,306.65,4586
2018,August,Middle East,Model S,14327,16335,71237,82,483,1037.99,12190
2024,November,Asia,Model Y,18216,18726,95843,82,466,1273.3,14789
2018,November,Middle East,Model Y,4439,4549,114154,100,566,376.87,7464
2024,November,Middle East,Model S,10466,10713,86144,82,483,758.26,8191
2016,June,Europe,Model 3,7425,8516,92132,75,434,483.37,11976
2024,March,Europe,Model Y,14419,16473,106395,120,682,1475.06,12464
2025,November,Asia,Cybertruck,15194,16944,106209,82,487,1109.92,14252
2021,August,North America,Model X,11564,13051,84649,120,667,1156.98,11354
2016,August,Europe,Model S,7883,8117,89573,82,470,555.75,14664
2022,May,North America,Model X,11824,13043,94330,75,442,783.93,3537
2022,August,Europe,Model 3,8566,9022,105370,75,431,553.79,4534
2016,January,North America,Model Y,5366,5628,86240,60,332,267.23,7207
2025,February,Asia,Model S,7214,7818,54063,75,438,473.96,3633
2018,November,Middle East,Model 3,8512,9694,61319,120,717,915.47,5469
2024,June,Asia,Model X,16936,19459,59210,60,331,840.87,11332
2016,April,Asia,Model X,10534,11769,99612,82,452,714.21,6637
2021,January,Middle East,Cybertruck,13269,13345,93503,60,353,702.59,9004
2025,September,Middle East,Model 3,10184,11005,104650,75,424,647.7,8782
2025,March,Middle East,Model Y,13821,13859,102898,82,461,955.72,6720
2020,July,Asia,Model X,9091,10357,90582,100,583,795.01,13938
2019,January,Europe,Model Y,1688,1921,50840,120,693,175.47,11887
2021,January,Asia,Cybertruck,19968,20943,118852,60,350,1048.32,3526
2017,October,North America,Model S,17816,19626,76119,82,489,1306.8,5008
2018,November,Middle East,Model S,12365,12531,113758,60,330,612.07,8806
2016,July,Asia,Model S,16053,18456,115318,100,582,1401.43,8054
2017,May,Europe,Model 3,5633,6297,101411,120,683,577.1,3302
2019,April,North America,Cybertruck,7556,7991,74287,120,685,776.38,12381
2018,June,North America,Cybertruck,11743,12765,115516,82,478,841.97,8775
2019,February,North America,Model X,13847,15194,112947,75,435,903.52,4575
2025,December,Europe,Cybertruck,9164,9356,90839,120,719,988.34,4155
2022,February,Asia,Model S,6882,7233,83360,120,677,698.87,9179
2024,June,Asia,Cybertruck,13475,15431,109301,100,565,1142.01,5354
2023,June,North America,Cybertruck,6650,7220,112601,75,430,428.92,14341
2018,May,Asia,Model Y,10308,10558,96067,60,359,555.09,8420
2020,December,Asia,Model S,12576,13358,72886,60,348,656.47,14165
2018,March,Middle East,Model Y,14733,16046,92221,75,438,967.96,9904
2020,July,North America,Model S,13904,14572,56546,100,571,1190.88,4545
2022,January,Asia,Model 3,8808,8820,59803,75,424,560.19,9943
2025,July,Europe,Cybertruck,10000,11022,73732,75,433,649.5,8368
2019,May,Asia,Model X,11616,11801,104311,120,708,1233.62,12213
2023,June,North America,Model X,10493,11366,101972,100,560,881.41,7419
2019,March,Asia,Model Y,11054,12525,112575,100,566,938.48,10380
2020,November,North America,Model 3,10557,10823,103233,100,599,948.55,14349
2022,December,Europe,Model S,8057,8633,110599,120,661,798.85,10726
2024,February,Middle East,Model S,12160,12876,109601,75,446,813.5,9076
2023,February,Middle East,Model 3,5370,6158,56204,60,357,287.56,8762
2015,July,Europe,Model 3,10194,10821,118767,60,333,509.19,7774
2018,September,Europe,Model X,4968,5607,59218,82,479,356.95,11903
2024,January,North America,Model X,7363,7632,101031,82,468,516.88,14776
2020,August,Europe,Model X,6007,6335,80271,100,581,523.51,3893
2019,March,Europe,Model X,9014,9238,73291,100,596,805.85,7116
2016,June,Middle East,Model S,12345,13438,85585,60,338,625.89,9780
2019,March,North America,Model Y,9620,9719,88480,100,570,822.51,13532
2021,March,North America,Model Y,13823,15781,84245,75,425,881.22,14090
2017,November,North America,Model X,11928,12489,87662,120,710,1270.33,14873
2018,June,Europe,Model X,8387,9141,113168,60,341,429,5595
2021,November,Middle East,Model Y,17733,20082,84700,120,678,1803.45,12043
2019,February,North America,Cybertruck,5243,5387,102952,82,470,369.63,5709
2020,February,Asia,Model Y,10272,11269,117826,82,480,739.58,14095
2024,May,Europe,Model 3,8204,8500,86088,100,578,711.29,5659
2015,August,North America,Model S,10073,10423,112970,120,683,1031.98,9522
2015,November,Middle East,Model X,7876,8191,111504,82,483,570.62,10901
2024,January,Asia,Model S,9189,10346,91318,75,419,577.53,9973
2022,September,Europe,Model 3,14414,16505,80706,82,467,1009.7,13158
2024,October,Europe,Model 3,4158,4663,104155,75,417,260.08,8565
2024,September,Europe,Cybertruck,11125,11190,75427,120,696,1161.45,4431
2024,April,Middle East,Model Y,7310,7929,67408,120,685,751.1,10608
2015,February,North America,Model X,7191,7436,79898,75,443,477.84,13328
2017,December,Asia,Model 3,15890,16945,68273,60,340,810.39,13014
2019,October,Middle East,Model X,6086,6530,73383,60,333,304,5866
2025,February,North America,Model Y,8758,9309,92930,75,441,579.34,9548
2018,August,Asia,Model 3,4082,4522,70105,82,487,298.19,3590
2021,October,Europe,Model 3,6769,7697,56373,60,349,354.36,7958
2015,January,Asia,Model S,9537,10093,68994,82,484,692.39,7281
2023,February,North America,Model X,7483,8068,62047,75,423,474.8,6857
2025,May,Asia,Model X,8555,8640,88628,82,455,583.88,3268
2022,November,Europe,Model Y,12567,12749,92449,100,572,1078.25,14261
2020,June,Middle East,Model S,2904,3018,53664,120,673,293.16,12622
2018,February,Asia,Cybertruck,8796,9795,112858,82,454,599.01,7717
2017,August,Europe,Model 3,14385,15358,62841,82,486,1048.67,13590
2023,January,Europe,Model 3,10952,11106,102800,120,661,1085.89,5992
2022,February,North America,Model Y,7779,8531,109604,82,475,554.25,13238
2015,July,Europe,Cybertruck,6089,6791,63093,120,679,620.16,8105
2018,July,North America,Model Y,15545,16327,62396,100,554,1291.79,14480
2016,May,North America,Model Y,12118,12916,57397,100,582,1057.9,5592
2023,July,North America,Model S,6998,7183,94380,60,340,356.9,13228
2021,September,Asia,Model X,4985,5637,99344,75,415,310.32,10801
2020,May,North America,Cybertruck,14336,15361,119620,100,583,1253.68,3888
2025,November,Asia,Model X,9950,10033,118441,100,589,879.08,8881
2015,January,Asia,Cybertruck,11325,11887,54449,60,339,575.88,6902
2018,December,Europe,Model X,6229,6403,102456,60,346,323.29,5448
2015,November,Middle East,Model S,7076,7801,55329,82,485,514.78,8941
2022,July,Asia,Cybertruck,10705,10825,82248,100,594,953.82,4133
2023,October,Europe,Model 3,8195,8564,87178,75,427,524.89,6286
2019,December,North America,Model X,12529,12922,55077,82,479,900.21,7830
2024,August,Middle East,Model Y,14108,14384,103388,82,453,958.64,3151
2022,April,North America,Model 3,12255,13007,88093,120,692,1272.07,8965
2018,August,North America,Cybertruck,8810,9800,113913,75,433,572.21,5169
2017,February,Middle East,Model 3,10407,10950,76022,82,451,704.03,6597
2021,June,Europe,Model S,7341,7660,94023,100,555,611.14,10859
2017,June,Middle East,Model X,7136,8154,108694,82,484,518.07,12875
2015,October,Middle East,Model S,14212,16049,109118,100,565,1204.47,12946
2020,April,Middle East,Model X,15453,16331,71194,82,469,1087.12,12815
2016,March,Europe,Model Y,10416,10510,115411,82,465,726.52,4217
2018,December,Asia,Model S,17422,18081,81271,120,667,1743.07,5471
2025,May,Europe,Model 3,7889,8089,57441,60,357,422.46,14971
2023,June,Asia,Cybertruck,10630,12173,83452,120,703,1120.93,7448
2025,June,Middle East,Model X,16710,16947,74280,82,452,1132.94,5236
2019,September,North America,Model S,3820,4316,96849,120,686,393.08,8854
2022,November,Asia,Model 3,8418,8979,119965,60,355,448.26,13721
2017,April,Europe,Cybertruck,16044,16841,109852,60,336,808.62,3853
2015,August,Middle East,Model 3,13292,13982,74287,120,704,1403.64,8426
2016,September,Middle East,Cybertruck,10761,11978,106343,120,661,1066.95,14553
2018,November,North America,Model X,10138,11349,101763,100,582,885.05,4869
2022,August,Asia,Model 3,15457,17551,57306,100,599,1388.81,13322
2016,December,Middle East,Model X,11142,11477,57648,75,444,742.06,8269
2022,June,Asia,Model X,8196,8771,54961,120,695,854.43,6172
2022,August,Middle East,Cybertruck,11575,12476,89388,100,597,1036.54,5346
2021,May,North America,Model Y,7656,8483,98110,120,665,763.69,14070
2021,February,Asia,Model 3,9838,11170,59780,82,454,669.97,8094
2017,April,Asia,Model Y,11278,11278,79160,100,576,974.42,3655
2020,January,North America,Model X,4111,4435,106616,120,681,419.94,9291
2016,August,Asia,Model S,11746,12560,78824,120,699,1231.57,9545
2017,May,Middle East,Model Y,8560,9524,57096,100,563,722.89,6315
2025,March,Europe,Model X,10895,11081,55877,100,566,924.99,6730
2022,August,Asia,Model Y,10678,11302,101912,60,341,546.18,6963
2024,December,Middle East,Model X,6862,7366,52020,60,331,340.7,9455
2021,October,Middle East,Cybertruck,11296,11690,116527,100,597,1011.56,4172
2018,June,North America,Model S,6735,7306,113561,120,683,690,6555
2025,July,Europe,Model X,15335,16038,82171,60,335,770.58,10636
2019,March,Europe,Model 3,8810,9203,104603,120,688,909.19,5729
2020,March,Europe,Model Y,9263,9727,86528,100,579,804.49,3101
2022,August,Europe,Model S,5485,5710,88333,75,417,343.09,4607
2017,October,North America,Cybertruck,16216,18254,106197,100,598,1454.58,9431
2024,October,North America,Model X,6997,7194,85035,75,442,463.9,4801
2015,August,North America,Model X,4085,4170,105582,60,348,213.24,9401
2025,January,Asia,Model Y,7834,8611,88530,75,417,490.02,4352
2023,June,Middle East,Model S,10779,11077,81015,75,418,675.84,14784
2016,October,North America,Model 3,14343,15856,87849,82,454,976.76,5902
2021,December,North America,Model S,4600,4845,69887,100,558,385.02,11919
2018,April,Middle East,Cybertruck,48,50,71402,75,427,3.07,11070
2023,September,Middle East,Model S,15520,17556,114685,100,583,1357.22,14175
2017,July,Middle East,Model S,6325,7006,101268,60,345,327.32,4936
2020,June,Middle East,Model Y,4600,5244,53393,82,459,316.71,9790
2016,March,Middle East,Model S,8282,8565,64843,100,580,720.53,7932
2016,September,North America,Model 3,8385,8938,93071,100,554,696.79,13588
2015,May,Europe,Model Y,10896,11016,88770,82,490,800.86,9277
2024,January,Europe,Model S,15476,16004,63955,100,571,1325.52,12065
2025,October,Middle East,Model Y,11160,11647,105605,60,344,575.86,3477
2015,July,Asia,Model 3,10192,10427,83680,120,691,1056.4,3621
2022,April,Asia,Cybertruck,10731,11587,68646,100,594,956.13,14128
2022,April,North America,Model X,9951,10203,58830,75,447,667.21,10259
2022,October,North America,Model S,9010,9866,103262,120,719,971.73,5165
2020,November,North America,Model X,11180,12361,81769,100,577,967.63,13195
2024,January,Asia,Cybertruck,8253,8377,97160,100,550,680.87,8703
2024,July,Asia,Model Y,13962,15770,72613,75,429,898.45,7980
2019,December,Europe,Model Y,7926,8613,113794,60,346,411.36,5093
2018,January,North America,Cybertruck,5479,5576,118640,120,672,552.28,3806
2020,June,Asia,Cybertruck,6915,7153,63970,100,551,571.52,10720
2023,March,Asia,Model S,9433,10123,114920,60,345,488.16,8851
2016,February,Europe,Cybertruck,10207,10691,85506,60,331,506.78,4780
2023,April,Europe,Model S,4669,4895,108706,82,455,318.66,13052
2024,February,Asia,Model S,4948,4979,91877,75,444,329.54,7578
2020,September,Asia,Model X,6195,6676,57883,60,358,332.67,5202
2025,March,Middle East,Model S,11610,12377,86362,120,697,1213.83,12608
2018,October,Middle East,Model X,6459,7254,88124,120,664,643.32,14465
2022,July,Europe,Cybertruck,7998,9144,65031,82,472,566.26,11832
2020,June,Middle East,Cybertruck,17072,18648,52769,60,342,875.79,10789
2025,September,North America,Model Y,6453,6570,115099,120,693,670.79,12556
2025,July,Asia,Model 3,10582,10871,71787,120,690,1095.24,13356
2017,June,Europe,Model X,6329,6475,116132,60,352,334.17,13595
2022,May,Middle East,Model 3,14152,15088,100153,75,426,904.31,5535
2025,December,Asia,Model S,12747,12885,111312,75,432,826.01,7899
2016,July,Middle East,Model S,2926,3309,108935,120,671,294.5,12631
2016,May,Asia,Model Y,12317,12498,84177,82,457,844.33,6896
2023,April,Middle East,Model X,14231,15537,61658,75,432,922.17,10081
2025,May,North America,Cybertruck,6900,7400,99130,75,421,435.73,3049
2021,September,North America,Cybertruck,11529,11639,110370,120,717,1239.94,5960
2019,August,Middle East,Model Y,8185,9083,66311,120,708,869.25,10061
2023,April,Asia,Cybertruck,7925,8275,53501,100,574,682.34,7265
2021,January,North America,Model X,12743,13026,102242,120,660,1261.56,5023
2022,March,Europe,Cybertruck,6899,7132,92851,60,342,353.92,3852
2018,October,Asia,Model S,6098,6104,78244,60,337,308.25,12826
2018,March,Middle East,Model 3,6190,6900,67712,60,355,329.62,4234
2023,August,Middle East,Model X,9332,10184,69244,100,585,818.88,10138
2016,May,Europe,Model Y,215,219,112062,60,343,11.06,5335
2024,April,North America,Model 3,14808,15555,60113,60,336,746.32,13865
2020,August,North America,Model X,9309,10327,51424,60,336,469.17,8844
2016,May,North America,Model S,15560,15968,85180,75,427,996.62,4756
2021,September,Middle East,Cybertruck,11865,12433,67654,120,717,1276.08,14079
2021,December,Europe,Model S,11799,12206,72930,82,459,812.36,8902
2023,December,Asia,Model Y,10707,12224,104573,100,580,931.51,8459
2015,January,Asia,Model X,7292,7298,107082,120,702,767.85,11748
2018,September,Middle East,Model X,10157,10828,111594,60,345,525.62,9093
2015,September,Asia,Model 3,8761,8999,90813,75,428,562.46,13712
2021,December,Asia,Model Y,7131,7266,83363,82,482,515.57,6099
2016,February,North America,Model S,12174,12987,86037,120,681,1243.57,10115
2024,September,Asia,Cybertruck,9927,10308,112386,82,471,701.34,10190
2017,November,Europe,Cybertruck,5328,5502,62799,60,354,282.92,6428
2018,October,North America,Model 3,735,800,119701,82,468,51.6,14048
2025,January,North America,Model Y,6916,7192,92230,75,437,453.34,10860
2016,January,Middle East,Model Y,7497,8301,113632,75,419,471.19,5850
